support,opposition,modal_regime,seed_disagreement,symmetric_fixed_point,lambda_symmetric,lambda_antisymmetric,symmetric_fixed_stable,n_collapse,n_equilibrium,n_lock_in,n_oscillation,n_unresolved,regime_transition_candidate,bifurcation_candidate
-1.25,5.75,equilibrium,False,0.1743492735,-0.2519153076,0.8277217249,True,0,7,0,0,0,False,False
-1.25,6.0,equilibrium,False,0.1695192237,-0.2815649129,0.8446947388,True,0,7,0,0,0,False,False
-1.25,6.25,equilibrium,False,0.1650248482,-0.3100312073,0.8611977979,True,0,7,0,0,0,False,False
-1.25,6.5,equilibrium,False,0.1608290314,-0.3374076351,0.8772598513,True,0,7,0,0,0,True,False
-1.25,6.75,equilibrium,False,0.1569001858,-0.3637769231,0.8929069929,True,0,7,0,0,0,True,True
-1.25,7.0,equilibrium,False,0.1532112328,-0.3892126528,0.9081628566,True,0,7,0,0,0,False,True
-1.25,7.25,equilibrium,False,0.1497388048,-0.4137805592,0.9230489398,True,0,7,0,0,0,True,True
-1.25,7.5,equilibrium,False,0.1464626135,-0.4375396072,0.9375848725,True,0,7,0,0,0,True,True
-1.25,7.75,equilibrium,False,0.1433649452,-0.4605428912,0.9517886418,True,0,7,0,0,0,True,True
-1.25,8.0,equilibrium,False,0.1404302540,-0.4828383910,0.9656767821,True,0,7,0,0,0,True,True
-1.25,8.25,equilibrium,False,0.1376448313,-0.5044696098,0.9792645367,True,0,7,0,0,0,True,True
-1.25,8.5,unresolved,False,0.1349965345,-0.5254761159,0.9925659966,True,0,0,0,0,7,True,True
-1.25,8.75,unresolved,False,0.1324745637,-0.5458940050,1.0055942198,False,0,0,0,0,7,True,True
-1.25,9.0,equilibrium,False,0.1300692760,-0.5657562972,1.0183613350,False,0,7,0,0,0,True,True
-1.25,9.25,equilibrium,False,0.1277720304,-0.5850932778,1.0308786323,False,0,7,0,0,0,True,True
-1.25,9.5,equilibrium,False,0.1255750574,-0.6039327928,1.0431566421,False,0,7,0,0,0,True,True
-1.25,9.75,equilibrium,False,0.1234713489,-0.6223005055,1.0552052049,False,0,7,0,0,0,True,True
-1.25,10.0,lock-in,False,0.1214545645,-0.6402201197,1.0670335329,False,0,0,7,0,0,True,True
-1.25,10.25,lock-in,False,0.1195189520,-0.6577135759,1.0786502645,False,0,0,7,0,0,True,True
-1.25,10.5,lock-in,False,0.1176592785,-0.6748012222,1.0900635129,False,0,0,7,0,0,True,True
-1.25,10.75,lock-in,False,0.1158707714,-0.6915019664,1.1012809095,False,0,0,7,0,0,True,True
-1.25,11.0,lock-in,False,0.1141490682,-0.7078334092,1.1123096430,False,0,0,7,0,0,True,True
-1.25,11.25,lock-in,False,0.1124901714,-0.7238119626,1.1231564936,False,0,0,7,0,0,True,True
-1.25,11.5,lock-in,False,0.1108904106,-0.7394529556,1.1338278652,False,0,0,7,0,0,True,False
-1.25,11.75,lock-in,False,0.1093464084,-0.7547707278,1.1443298131,False,0,0,7,0,0,True,False
